date,home_team,away_team,home_goals,away_goals,home_form_points_avg,home_form_goals_scored_avg,home_form_goals_conceded_avg,away_form_points_avg,away_form_goals_scored_avg,away_form_goals_conceded_avg,home_returning_from_break,away_returning_from_break,home_days_since_last_match,away_days_since_last_match,h2h_matches_found,h2h_home_win_rate,dc_home_win,dc_draw,dc_away_win,dc_over_2_5,dc_under_2_5
2020-05-02,Toulouse,Strasbourg,0,1,0.4,0.8,2.2,0.8,1.4,1.8,1,0,90.0,22.0,1,0.0,,,,,
2020-05-02,Reims,Nice,1,1,2.2,2.0,0.8,2.6,2.0,0.8,0,0,22.0,53.0,1,0.0,,,,,
2020-05-02,Lyon,Amiens,0,0,1.0,1.2,1.2,0.8,1.0,1.8,0,1,22.0,90.0,0,,,,,,
2020-05-02,St Etienne,Marseille,0,2,0.6,0.8,2.0,1.6,1.0,0.8,0,0,53.0,20.0,1,0.0,,,,,
2020-05-02,Nimes,Dijon,2,0,1.2,0.8,1.4,0.8,0.8,1.2,0,0,20.0,22.0,0,,,,,,
2020-05-12,Rennes,Lens,0,2,2.0,1.6,1.0,3.0,2.0,0.0,0,0,32.0,63.0,0,,0.14567354199873886,0.3436204812521213,0.5107059767491399,0.1455044464106557,0.8544955535893444
2020-05-12,Montpellier,Paris SG,1,3,1.4,1.0,1.4,3.0,3.6,0.6,0,0,10.0,40.0,2,0.0,0.136286436554799,0.15226039455592838,0.7114531688892727,0.6309369964886761,0.36906300351132404
2020-06-03,Marseille,Amiens,2,2,2.2,1.4,0.4,0.4,0.4,1.6,0,0,32.0,32.0,1,0.0,0.708730110727922,0.2167211519478406,0.07454873732423734,0.2823958775029932,0.7176041224970068
2020-06-11,Strasbourg,Marseille,0,1,0.8,0.8,1.6,1.8,1.4,0.6,0,0,40.0,8.0,0,,0.1544218719969092,0.16969001247590432,0.6758881155271863,0.6223974460954436,0.3776025539045563
2020-06-12,Reims,Nice,0,0,2.2,2.2,1.0,2.2,1.8,0.8,0,0,41.0,41.0,2,0.25,0.5315441224630691,0.22050893170118746,0.24794694583574356,0.47384184995508244,0.5261581500449175
2020-06-12,Angers,Lorient,2,0,0.6,1.0,3.0,0.5,0.5,1.5,0,0,71.0,63.0,0,,0.5275674212076572,0.2560282261722453,0.21640435262009758,0.32822570103707727,0.6717742989629228
2020-06-12,Bordeaux,Brest,1,0,1.2,1.0,1.2,1.0,0.8,1.4,0,0,41.0,41.0,1,0.5,0.6244591625173593,0.20225105442600183,0.1732897830566388,0.46429173739963664,0.5357082626003634
2020-06-12,Metz,Lyon,1,3,2.2,1.8,0.8,1.2,1.0,0.8,0,0,41.0,41.0,0,,0.29639452501650243,0.25701138504761256,0.44659408993588495,0.3643550803787821,0.6356449196212177
2020-06-12,Dijon,St Etienne,0,0,0.8,0.8,1.4,0.0,0.2,2.0,0,0,41.0,41.0,1,0.0,0.31510842036934594,0.2668177391008175,0.41807384052983676,0.3390209871180952,0.660979012881905
2020-06-12,Nantes,Strasbourg,0,4,0.0,1.0,2.0,0.6,0.6,1.6,0,0,71.0,1.0,0,,0.6386770848247609,0.18986242159191696,0.1714604935833221,0.5159092691893749,0.4840907308106251
2020-06-12,Lille,Monaco,2,1,2.6,1.6,0.4,1.8,1.4,0.8,0,0,63.0,63.0,0,,0.7046336002214902,0.1867260495317166,0.10864035024679314,0.4159182572853892,0.5840817427146107
2020-07-02,Angers,Lille,0,2,0.6,0.8,2.8,2.6,1.6,0.4,0,0,20.0,20.0,0,,0.16716396038150472,0.25218390031172255,0.5806521393067727,0.320198062025505,0.679801937974495
2020-07-03,Reims,Brest,1,0,1.8,1.8,1.0,1.0,0.6,1.2,0,0,21.0,21.0,0,,0.673175248442658,0.22808269818647028,0.09874205337087166,0.3068051951965463,0.6931948048034535
2020-07-03,Metz,Nimes,2,1,2.0,1.8,1.2,1.8,1.2,0.8,0,0,21.0,62.0,1,1.0,0.6214419129893234,0.1917910030127883,0.18676708399788827,0.5702698375472637,0.4297301624527364
2020-07-03,Dijon,Toulouse,2,1,1.0,0.6,1.0,0.4,0.6,1.8,0,0,21.0,62.0,0,,0.4643135009549205,0.3181069938102901,0.21757950523478944,0.2150047069394802,0.78499529306052
2020-07-03,Angers,Nantes,2,0,0.6,0.6,2.4,0.0,0.6,2.2,0,0,1.0,21.0,0,,0.4551787315851188,0.26054661239158367,0.28427465602329743,0.3764523187861757,0.6235476812138242
2020-07-03,Nice,Monaco,2,1,2.2,1.6,0.6,1.2,1.4,1.2,0,0,21.0,21.0,0,,0.7393367714422291,0.153713207727447,0.10695002083032404,0.5808060383134562,0.4191939616865439
2020-07-11,Bordeaux,Montpellier,0,2,1.6,1.0,1.0,0.8,0.6,2.0,0,0,29.0,60.0,0,,0.6945007609368437,0.170179533176415,0.13531970588674125,0.5675672562457453,0.43243274375425456
2020-07-11,Paris SG,Rennes,3,0,3.0,3.8,0.6,1.4,1.2,1.2,0,0,60.0,60.0,0,,0.7749406938752248,0.12247195816174722,0.10258734796302808,0.756888369011165,0.24311163098883515
2020-08-02,Metz,Bordeaux,1,2,2.0,2.0,1.4,1.6,1.0,0.6,0,0,30.0,22.0,0,,0.4816872808369954,0.21614468803363335,0.30216803112937124,0.56473475539519,0.43526524460481
2020-08-02,Nice,Nimes,1,3,2.2,1.4,0.8,1.2,0.8,1.0,0,0,30.0,30.0,0,,0.8103661149420699,0.11902886514410228,0.07060501991382792,0.6287386642897588,0.3712613357102412
2020-08-02,Amiens,Monaco,1,2,0.6,0.8,1.4,1.2,1.4,1.0,0,0,60.0,30.0,1,0.0,0.4888948501729745,0.24287908155768168,0.2682260682693439,0.4214910044856958,0.5785089955143043
2020-08-02,Dijon,Nantes,3,3,1.0,0.4,1.2,0.0,0.4,2.2,0,0,30.0,30.0,1,0.0,0.45897940364374357,0.308700507489915,0.2323200888663414,0.23187346428545982,0.7681265357145401
2020-08-02,Rennes,Brest,0,0,0.8,1.0,1.8,0.8,0.4,1.2,0,0,22.0,30.0,0,,0.5431186810310871,0.2665549188772871,0.19032640009162566,0.2995597129636011,0.7004402870363987
2020-08-02,Marseille,Toulouse,1,0,2.2,1.6,0.6,0.4,0.4,1.4,0,0,52.0,30.0,0,,0.8946921697632089,0.07601585319499331,0.029291977041797757,0.6584542083572397,0.34154579164276033
2020-08-03,Lille,Lyon,1,0,2.6,1.8,0.4,1.2,1.2,1.0,0,0,32.0,52.0,2,0.75,0.4314205245835028,0.3033639024844541,0.2652155729320431,0.2698655939217669,0.7301344060782331
2020-08-03,Rennes,Montpellier,5,0,0.4,0.4,1.6,1.4,1.0,1.0,0,0,1.0,23.0,1,1.0,0.45242923894271203,0.268516203905262,0.2790545571520259,0.36786610753787335,0.6321338924621266
2020-08-03,St Etienne,Bordeaux,1,1,0.2,0.2,1.6,2.0,1.4,0.8,0,0,52.0,1.0,0,,0.3694438754736251,0.24810961440344192,0.38244651012293307,0.4670649835992448,0.5329350164007552
2020-08-11,Lorient,Nantes,0,2,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.2,1.0,2.6,0,0,60.0,9.0,0,,0.18724803481022614,0.2822024668414139,0.5305494983483597,0.2863063355986169,0.713693664401383
2020-08-11,Lens,Reims,4,4,3.0,2.0,0.0,1.8,1.2,0.8,1,0,90.0,39.0,0,,0.6874002728644688,0.27282466433195424,0.039775062803576934,0.17844094109592004,0.8215590589040799
2020-08-11,Brest,Lille,3,2,1.0,0.4,0.6,3.0,1.8,0.2,0,0,9.0,8.0,1,0.0,0.16654127353445392,0.4095919430568565,0.4238667834086896,0.1039522463169434,0.8960477536830566
2020-08-11,Nimes,Angers,1,5,1.8,1.4,1.0,1.2,1.0,1.8,0,0,9.0,39.0,0,,0.5758432848664797,0.2108717972025681,0.2132849179309524,0.5520948379493328,0.4479051620506673
2020-08-11,Lyon,St Etienne,2,1,1.0,1.0,1.0,0.4,0.4,1.6,0,0,8.0,8.0,2,0.5,0.7157059240674593,0.1822745329107889,0.10201954302175183,0.46921801830745846,0.5307819816925416
2020-08-11,Metz,Dijon,1,1,1.4,1.6,1.6,1.0,1.0,1.8,0,0,9.0,9.0,0,,0.5905549657779159,0.21576110964326306,0.193683924578821,0.5027358428309281,0.49726415716907185
