date,home_team,away_team,home_goals,away_goals
2021-03-03,Lille,Marseille,2,0
2021-03-03,Nice,Nimes,2,1
2021-03-03,St Etienne,Lens,2,3
2021-03-04,Monaco,Metz,4,0
2021-03-04,Paris SG,Lille,0,1
2021-03-04,Lens,Lyon,1,1
2021-03-10,Lorient,Clermont,1,1
2021-03-10,Angers,Metz,3,2
2021-03-10,Rennes,Paris SG,2,0
2021-03-10,Lille,Marseille,2,0
2021-03-10,Nantes,Troyes,2,0
2021-03-10,St Etienne,Lyon,1,1
2021-03-10,Monaco,Bordeaux,3,0
2021-04-04,Nantes,Nice,1,2
2021-04-04,Reims,Rennes,2,2
2021-04-04,Nimes,St Etienne,0,2
2021-04-04,Bordeaux,Strasbourg,2,3
2021-04-04,Lorient,Brest,1,0
2021-04-04,Marseille,Dijon,2,0
2021-04-04,Angers,Montpellier,1,1
2021-04-12,Marseille,Brest,1,2
2021-04-12,Lille,Troyes,2,1
2021-04-12,Lens,Paris SG,1,1
2021-05-11,Lens,Troyes,4,0
2021-05-12,St Etienne,Rennes,0,5
2021-05-12,Reims,Angers,1,2
2021-05-12,Montpellier,Clermont,1,0
2021-05-12,Monaco,Metz,4,0
2021-05-12,Lorient,Nantes,0,1
2021-05-12,Nice,Strasbourg,0,3
2021-05-12,Bordeaux,Lyon,2,2
2021-06-01,Nantes,Rennes,0,0
2021-06-01,Lorient,Monaco,2,5
2021-06-01,Metz,Bordeaux,0,0
2021-06-01,St Etienne,Paris SG,1,1
2021-06-01,Reims,Dijon,0,0
2021-06-01,Marseille,Montpellier,3,1
2021-06-01,Lyon,Lens,3,2
2021-06-01,Lille,Angers,1,2
2021-06-01,Strasbourg,Nimes,5,0
2021-06-01,Brest,Nice,2,0
2021-06-02,Lyon,Strasbourg,3,0
2021-06-02,Lorient,Reims,1,0
2021-06-02,Lens,Rennes,0,0
2021-06-08,Monaco,Nantes,1,1
2021-06-11,Bordeaux,Paris SG,2,3
2021-06-11,Lille,Angers,1,1
2021-07-02,Marseille,Paris SG,0,2
2021-07-02,Nantes,Lille,0,2
2021-07-02,St Etienne,Metz,1,0
2021-07-02,Nimes,Monaco,3,4
2021-07-02,Nice,Angers,3,0
2021-07-02,Montpellier,Dijon,4,2
2021-07-02,Brest,Bordeaux,2,1
2021-07-05,Lens,Lille,0,3
2021-07-08,Lyon,Brest,1,1
2021-07-08,Troyes,Paris SG,1,2
2021-07-11,Reims,Monaco,0,0
2021-07-11,Rennes,Lyon,4,1
2021-07-11,Nice,Montpellier,0,1
2021-07-11,Lorient,Brest,1,2
2021-07-11,St Etienne,Clermont,3,2
2021-07-11,Marseille,Metz,0,0
2021-07-11,Nantes,Strasbourg,2,2
2021-08-05,Nantes,Bordeaux,3,0
2021-08-05,Lyon,Lorient,4,1
2021-08-08,Montpellier,Marseille,2,3
2021-08-08,Strasbourg,Angers,0,2
2021-08-08,St Etienne,Lorient,1,1
2021-08-08,Nice,Reims,0,0
2021-08-08,Bordeaux,Clermont,0,2
2021-08-08,Rennes,Lens,1,1
2021-08-08,Metz,Lille,3,3
2021-09-01,Rennes,Lyon,2,2
2021-09-01,Monaco,Angers,3,0
2021-09-01,Montpellier,Nantes,1,1
2021-09-01,Metz,Nice,1,1
2021-09-01,Reims,St Etienne,3,1
2021-09-01,Dijon,Marseille,0,0
2021-09-01,Lens,Strasbourg,0,1
2021-09-01,Paris SG,Brest,3,0
2021-09-01,Nimes,Lille,0,1
2021-09-01,Bordeaux,Lorient,2,1
2021-09-04,Metz,Lille,0,2
2021-09-05,Rennes,Paris SG,1,1
2021-09-05,Strasbourg,Montpellier,2,3
2021-09-05,Nice,Brest,3,2
2021-09-05,Metz,Nimes,0,3
2021-09-05,Angers,Dijon,3,0
2021-09-05,St Etienne,Marseille,1,0
2021-09-05,Reims,Monaco,0,1
2021-10-03,Marseille,Rennes,1,0
2021-10-04,Montpellier,Marseille,3,3
2021-10-04,Strasbourg,Paris SG,1,4
2021-10-09,Lorient,Lille,2,1
2021-10-12,Nantes,Lens,3,2
2021-11-04,Brest,Nimes,1,1
2021-11-04,Lens,Lorient,4,1
2021-11-04,Nice,Reims,0,0
2021-11-04,St Etienne,Bordeaux,4,1
2021-11-04,Monaco,Dijon,3,0
2021-11-04,Rennes,Nantes,1,0
2021-11-04,Lyon,Angers,3,0
2021-11-09,Paris SG,Clermont,4,0
2021-11-09,Monaco,Marseille,0,2
2021-11-12,Brest,Montpellier,0,4
2021-11-12,Reims,St Etienne,2,0
2021-12-03,Reims,Lyon,1,1
2021-12-09,Nantes,Nice,0,2
2021-12-09,Lyon,Strasbourg,3,1
2021-12-09,Montpellier,St Etienne,2,0
2021-12-09,Bordeaux,Lens,2,3
2021-12-09,Brest,Angers,1,1
2021-12-09,Metz,Troyes,0,2
2021-12-09,Rennes,Reims,0,2
2021-12-12,Strasbourg,Marseille,0,2
2021-12-12,Paris SG,Monaco,2,0
2021-12-12,Troyes,Bordeaux,1,2
2021-12-12,Angers,Clermont,0,1
2021-12-12,Metz,Lorient,4,1
2021-12-12,Lille,Lyon,0,0
2021-12-12,Rennes,Nice,1,2
2022-01-02,Lyon,Marseille,2,1
2022-01-05,Bordeaux,Nice,0,1
2022-01-05,Lorient,Reims,1,2
2022-01-05,Marseille,Lyon,0,3
2022-01-05,Brest,Clermont,2,0
2022-01-05,Troyes,Lille,3,0
2022-01-05,Montpellier,Metz,2,2
2022-01-05,Monaco,Angers,2,0
2022-01-10,Strasbourg,Rennes,1,3
2022-01-10,Paris SG,Nice,2,1
2022-02-04,Lille,Bordeaux,0,0
2022-02-04,Nice,Rennes,1,1
2022-02-10,Lorient,Lille,2,1
2022-02-10,Auxerre,Brest,1,1
2022-02-10,Toulouse,Montpellier,4,2
2022-02-10,Troyes,Reims,2,2
2022-02-10,Monaco,Nantes,4,1
2022-02-10,Lens,Lyon,1,0
2022-02-10,Ajaccio,Clermont,1,3
2022-03-04,Montpellier,Brest,1,2
2022-03-04,St Etienne,Marseille,2,4
2022-03-04,Troyes,Reims,1,0
2022-03-04,Lyon,Angers,3,2
2022-03-04,Metz,Monaco,1,2
2022-03-04,Paris SG,Lorient,5,1
2022-03-04,Clermont,Nantes,2,3
2022-03-04,Strasbourg,Lens,1,0
2022-03-09,Auxerre,Marseille,0,2
2022-03-09,Lyon,Angers,5,0
2022-03-09,Nantes,Paris SG,0,3
2022-04-02,Marseille,Angers,5,2
2022-04-03,Lorient,Lyon,1,4
2022-04-09,Montpellier,Lille,1,3
2022-04-09,Ajaccio,Lorient,0,1
2022-04-09,Brest,Strasbourg,1,1
2022-04-09,Clermont,Toulouse,2,0
2022-04-09,Reims,Lens,1,1
2022-04-09,Nice,Monaco,0,1
2022-04-09,Troyes,Rennes,1,1
2022-04-11,Troyes,Auxerre,1,1
2022-05-02,St Etienne,Montpellier,3,1
2022-05-02,Monaco,Lyon,2,0
2022-05-03,Lens,Brest,0,1
2022-05-03,Nice,Paris SG,1,0
2022-05-08,Lyon,Ajaccio,2,1
2022-05-11,Angers,Lens,1,2
2022-05-11,Ajaccio,Strasbourg,4,2
2022-06-02,Rennes,Brest,2,0
2022-06-02,Troyes,Metz,0,0
2022-06-02,Strasbourg,Nantes,1,0
2022-06-02,Reims,Bordeaux,5,0
2022-06-02,Nice,Clermont,0,1
2022-06-02,Lorient,Lens,2,0
2022-06-02,Lille,Paris SG,1,5
2022-06-03,Nantes,Montpellier,2,0
2022-06-03,Bordeaux,Troyes,0,2
2022-06-03,St Etienne,Metz,1,0
2022-06-03,Rennes,Angers,2,0
2022-06-03,Lille,Clermont,4,0
2022-06-03,Marseille,Monaco,0,1
2022-06-03,Reims,Strasbourg,1,1
2022-06-05,Lille,Monaco,1,2
2022-06-08,Strasbourg,Monaco,1,2
2022-06-08,Clermont,Paris SG,0,5
2022-06-11,Lorient,Paris SG,1,2
2022-06-11,Clermont,Montpellier,1,1
2022-06-11,Nice,Brest,1,0
2022-06-11,Reims,Nantes,1,0
